date,state,party,type
2/1/16,Iowa,Democrat,Semi-open caucus
2/9/16,New Hampshire,Democrat,Semi-closed primary
2/20/16,Nevada,Democrat,Closed caucus
2/27/16,South Carolina,Democrat,Open primary
3/1/16,Alabama,Democrat,Open primary
3/1/16,American Samoa,Democrat,Closed caucus
3/1/16,Arkansas,Democrat,Open primary
3/1/16,Colorado,Democrat,Closed caucus
3/1/16,Georgia,Democrat,Open primary
3/1/16,Massachusetts,Democrat,Semi-closed primary
3/1/16,Minnesota,Democrat,Open caucus
3/1/16,Oklahoma,Democrat,Semi-closed primary
3/1/16,Tennessee,Democrat,Open primary
3/1/16,Texas,Democrat,Open primary
3/1/16,Vermont,Democrat,Open primary
3/1/16,Virginia,Democrat,Open primary
3/5/16,Kansas,Democrat,Closed caucus
3/5/16,Louisiana,Democrat,Closed primary
3/5/16,Nebraska,Democrat,Closed caucus
3/6/16,Maine,Democrat,Closed caucus
3/8/16,Democrats Abroad,Democrat,Closed primary
3/8/16,Michigan,Democrat,Open primary
3/8/16,Mississippi,Democrat,Open primary
3/12/16,Northern Marianas,Democrat,Closed caucus
3/15/16,Florida,Democrat,Closed primary
3/15/16,Illinois,Democrat,Open primary
3/15/16,Missouri,Democrat,Open primary
3/15/16,North Carolina,Democrat,Semi-closed primary
3/15/16,Ohio,Democrat,Semi-open primary
3/22/16,Arizona,Democrat,Closed primary
3/22/16,Idaho,Democrat,Open caucus
3/22/16,Utah,Democrat,Semi-open caucus
3/26/16,Alaska,Democrat,Closed caucus
3/26/16,Hawaii,Democrat,Semi-closed caucus
3/26/16,Washington,Democrat,Open caucus
4/5/16,Wisconsin,Democrat,Open primary
4/9/16,Wyoming,Democrat,Closed caucus
4/19/16,New York,Democrat,Closed primary
4/26/16,Connecticut,Democrat,Closed primary
4/26/16,Delaware,Democrat,Closed primary
4/26/16,Maryland,Democrat,Closed primary
4/26/16,Pennsylvania,Democrat,Closed primary
4/26/16,Rhode Island,Democrat,Semi-closed primary
5/3/16,Indiana,Democrat,Open primary
5/7/16,Guam,Democrat,Closed caucus
5/10/16,West Virginia,Democrat,Semi-closed primary
5/17/16,Kentucky,Democrat,Closed primary
5/17/16,Oregon,Democrat,Closed primary
6/4/16,Virgin Islands,Democrat,Closed caucus
6/5/16,Puerto Rico,Democrat,Open primary
6/7/16,California,Democrat,Semi-closed primary
6/7/16,Montana,Democrat,Open primary
6/7/16,New Jersey,Democrat,Semi-closed primary
6/7/16,New Mexico,Democrat,Closed primary
6/7/16,North Dakota,Democrat,Open caucus
6/7/16,South Dakota,Democrat,Semi-closed primary
6/14/16,District of Columbia,Democrat,Closed primary
2/1/16,Iowa,Republican,Closed caucus
2/9/16,New Hampshire,Republican,Semi-closed primary
2/20/16,South Carolina,Republican,Open primary
2/23/16,Nevada,Republican,Closed caucus
3/1/16,Alabama,Republican,Open primary
3/1/16,Alaska,Republican,Closed caucus
3/1/16,Arkansas,Republican,Open primary
3/1/16,Colorado,Republican,Closed caucus
3/1/16,Georgia,Republican,Open primary
3/1/16,Massachusetts,Republican,Semi-closed primary
3/1/16,Minnesota,Republican,Open caucus
3/1/16,North Dakota,Republican,Closed caucus
3/1/16,Oklahoma,Republican,Closed primary
3/1/16,Tennessee,Republican,Open primary
3/1/16,Texas,Republican,Open primary
3/1/16,Vermont,Republican,Open primary
3/1/16,Virginia,Republican,Open primary
3/1/16,Wyoming,Republican,Closed caucus
3/5/16,Kansas,Republican,Closed caucus
3/5/16,Kentucky,Republican,Closed caucus
3/5/16,Louisiana,Republican,Closed primary
3/5/16,Maine,Republican,Closed caucus
6-Mar,Puerto Rico,Republican,Open primary
8-Mar,Hawaii,Republican,Closed caucus
8-Mar,Idaho,Republican,Closed primary
8-Mar,Michigan,Republican,Open primary
8-Mar,Mississippi,Republican,Open primary
3/10/16,Virgin Islands,Republican,Closed caucus
3/12/16,District of Columbia,Republican,Closed convention
3/12/16,Guam,Republican,Closed caucus
3/15/16,Florida,Republican,Closed primary
3/15/16,Illinois,Republican,Open primary
3/15/16,Missouri,Republican,Open primary
3/15/16,Northern Marianas,Republican,Closed caucus
3/15/16,North Carolina,Republican,Semi-closed primary
3/15/16,Ohio,Republican,Semi-closed primary
3/22/16,American Samoa,Republican,Open caucus
3/22/16,Arizona,Republican,Closed primary
3/22/16,Utah,Republican,Semi-closed caucus
4/5/16,Wisconsin,Republican,Open primary
4/19/16,New York,Republican,Closed primary
4/26/16,Connecticut,Republican,Closed primary
4/26/16,Delaware,Republican,Closed primary
4/26/16,Maryland,Republican,Closed primary
4/26/16,Pennsylvania,Republican,Closed primary
4/26/16,Rhode Island,Republican,Semi-closed primary
5/3/16,Indiana,Republican,Open primary
5/10/16,Nebraska,Republican,Semi-closed primary
5/10/16,West Virginia,Republican,Semi-closed primary
5/17/16,Oregon,Republican,Closed primary
5/24/16,Washington,Republican,Closed primary
6/7/16,California,Republican,Closed primary
6/7/16,Montana,Republican,Closed primary
6/7/16,New Jersey,Republican,Semi-closed primary
6/7/16,New Mexico,Republican,Closed primary
6/7/16,South Dakota,Republican,Closed primary
